target,source,value,,,,
707-Headband,hybrid,4.3,,,,
9-Pound-Hammer,indica,4.5,,,,
Ak-47,hybrid,4.2,,,,
Afghani,indica,4.3,,,,
Agent-Orange,hybrid,4.2,,,,
Amnesia-Haze,sativa,4.3,,,,
Ancient-Og,indica,4.6,,,,
Animal-Cookies,hybrid,4.5,,,,
Apple-Jack,hybrid,3.6,,,,
Berry-White,indica,4.4,,,,
Black-Cherry-Pie,hybrid,5,,,,
Black-Jack,hybrid,4.4,,,,
Black-Lime-Special-Reserve,indica,4.5,,,,
Black-Mamba,indica,4.6,,,,
Blackberry-Kush,indica,4.3,,,,
Blue-Cookies,hybrid,4.7,,,,
Blue-Dream,hybrid,4.4,,,,
Blueberry,indica,4.3,,,,
Blueberry-Diesel,hybrid,4.2,,,,
Blueberry-Kush,indica,4.3,,,,
Blueberry-Og,hybrid,4.6,,,,
Bubba-Kush,indica,4.3,,,,
Candyland,sativa,4.6,,,,
Cannatonic,hybrid,4.3,,,,
Cheese,hybrid,4.1,,,,
Chemdawg-4-X-Alien-Og-Kush,hybrid,4.5,,,,
Cherry-Ak-47,hybrid,4.4,,,,
Cherry-Cookies,hybrid,4.6,,,,
Cherry-Pie,hybrid,4.4,,,,
Cookie-Wreck,hybrid,4.6,,,,
Cotton-Candy-Kush,hybrid,4.3,,,,
Deadhead-Og,hybrid,4.4,,,,
Double-Dream,hybrid,4.5,,,,
Dougs-Varin,sativa,5,,,,
Durban-Poison,sativa,4.4,,,,
Dutch-Treat,hybrid,4.3,,,,
Earth-Og,hybrid,4.2,,,,
El-Chapo-Og,indica,4.7,,,,
Fire-Og,hybrid,4.4,,,,
Forbidden-Fruit,indica,4.6,,,,
Frida,indica,4.9,,,,
Fruit-Spirit,hybrid,4.4,,,,
Gg-4,hybrid,4.7,,,,
Gsc,hybrid,4.5,,,,
Gelato,hybrid,4.7,,,,
Gods-Gift,indica,4.5,,,,
Golden-State-Banana,indica,4.8,,,,
Gorilla-Cookies,hybrid,4.8,,,,
Granddaddy-Purple,indica,4.4,,,,
Grape-Ape,indica,4.3,,,,
Grapefruit,sativa,4.3,,,,
Green-Crack,sativa,4.3,,,,
Green-Ribbon,hybrid,4.2,,,,
Harlequin,sativa,4.3,,,,
Headband,hybrid,4.3,,,,
Holy-Grail-Kush,hybrid,4.5,,,,
Humboldt-Headband,indica,4.8,,,,
J1,hybrid,4.5,,,,
Jack-Herer,sativa,4.4,,,,
Jesus-Og,sativa,4.6,,,,
Jet-Fuel,hybrid,4.6,,,,
Kali-Mist,sativa,4.1,,,,
Key-Lime-Pie,hybrid,4.5,,,,
King-Louis,indica,4.6,,,,
Kryptonite,indica,4.3,,,,
Laughing-Buddha,sativa,4.4,,,,
Lemon-Kush,hybrid,4.1,,,,
Lemon-Skunk,hybrid,4.3,,,,
Lifesaver,hybrid,4.5,,,,
Mai-Tai-Cookies,hybrid,4.9,,,,
Master-Kush,indica,4.3,,,,
Master-Yoda,hybrid,4.5,,,,
Maui-Wowie,sativa,4.4,,,,
Monster-Cookies,indica,4.6,,,,
Nyc-Diesel,hybrid,4.2,,,,
Northern-Lights,indica,4.4,,,,
Og-18,hybrid,4.6,,,,
Og-Kush,hybrid,4.3,,,,
Orange-Cookies,hybrid,4.6,,,,
Paris-Og,indica,4.6,,,,
Pineapple,hybrid,4.2,,,,
Pineapple-Cookies,hybrid,4,,,,
Pineapple-Express,hybrid,4.4,,,,
Platinum-Bubba-Kush,indica,4.5,,,,
Platinum-Gsc,hybrid,4.6,,,,
Platinum-Og,indica,4.4,,,,
Presidential-Og,indica,4.5,,,,
Purple-Diesel,hybrid,4.2,,,,
Purple-Punch,indica,4.6,,,,
Purple-Tangie,sativa,4.5,,,,
Purple-Urkle,indica,4.4,,,,
Raskal-Og,hybrid,4.1,,,,
Romulan-Grapefruit,hybrid,4.3,,,,
Royal-Kush,hybrid,4.2,,,,
Sfv-Og,hybrid,4.4,,,,
Sour-Apple,hybrid,4.2,,,,
Sour-Diesel,sativa,4.4,,,,
Sour-Tangie,sativa,4.6,,,,
Strawberry,sativa,4.4,,,,
Strawberry-Banana,hybrid,4.5,,,,
Strawberry-Blondie,hybrid,4.9,,,,
Strawberry-Lemonade,sativa,4.3,,,,
Strawberry-Milkshake,hybrid,4.4,,,,
Sunset-Sherbert,hybrid,4.6,,,,
Super-Green-Crack,sativa,4.5,,,,
Super-Lemon-Haze,sativa,4.4,,,,
Swiss-Tsunami,sativa,4.8,,,,
Tangie,sativa,4.5,,,,
The-White,hybrid,4.6,,,,
Trainwreck,hybrid,4.2,,,,
Truffle-Butter,indica,4.5,,,,
Venom-Og,hybrid,4.4,,,,
Watermelon,indica,4.5,,,,
Wedding-Cake,hybrid,4.7,,,,
White-Fire-Og,hybrid,4.5,,,,
White-Widow,hybrid,4.3,,,,
Xxx-Og,indica,4.5,,,,
Zkittlez,indica,4.6,,,,